cd_linha	trip_id	dc_itinerario_longo	
157	242P-10-0	METRO PENHA	
32925	242P-10-1	JD. HELENA	
32978	2435-10-1	JD. COIMBRA	
210	2435-10-0	PQ. D. PEDRO II	
212	2435-51-0	TERM. AMARAL GURGEL	
32980	2435-51-1	TERM. A. E. CARVALHO	
32981	2451-10-1	VILA SAO FRANCISCO	
213	2451-10-0	PQ.D. PEDRO II	
1581	2451-21-0	TERMINAL ARICANDUVA	
34349	2451-21-1	VILA SAO FRANCISCO	
32906	2460-10-1	CEMITERIO DA SAUDADE	
138	2460-10-0	TERM. PQ. D.PEDRO II	
139	2463-10-0	TERM. ARICANDUVA	
32907	2463-10-1	BURGO PAULISTA	
32983	2501-10-1	ERMELINO MATARAZZO	
215	2501-10-0	TERMINAL PQ. D.PEDRO II	
216	2501-21-0	TERMINAL PQ.D.PEDRO II	
32984	2501-21-1	VILA CISPER	
32986	2501-31-1	JD. VERÔNIA	
218	2501-31-0	TERMINAL PQ. D. PEDRO II	
140	2522-10-0	SHOP. C.L.ARICANDUVA	
32908	2522-10-1	JD. SANTO ANTONIO	
33018	2523-10-1	VILA PROGRESSO	
250	2523-10-0	TERM.PRINCESA ISABEL	
251	2523-21-0	TERM. PRINC. ISABEL	
33019	2523-21-1	VILA PROGRESSO	
32926	253F-10-1	TERM. A.E. CARVALHO	
158	253F-10-0	TERM. SAO MATEUS	
141	2551-10-0	TERM. PQ. D.PEDRO II	
32909	2551-10-1	TERM. A.E. CARVALHO	
32910	2552-10-1	VILA MARA	
142	2552-10-0	TERM. PQ. D.PEDRO II	
143	2552-32-0	TERM. PQ.D. PEDRO II	
32911	2552-32-1	VILA MARA	
34485	2552-41-1	JD. SÃO MARTINHO	
1717	2552-41-0	TERM. PQ. D.PEDRO II	
374	2582-10-0	TERM. PQ. D.PEDRO II	
33142	2582-10-1	VILA NOVA CURUCA	
34538	2582-21-1	CID. PEDRO J. NUNES	
1770	2582-21-0	TERM. PQ. D.PEDRO II	
375	2583-10-0	TERM. PQ. D.PEDRO II	
33143	2583-10-1	VILA CURUCA	
33680	2590-10-1	UNIAO DE VILA NOVA	
912	2590-10-0	PQ. D. PEDRO II	
2008	2590-21-0	PQ. D. PEDRO II	
34776	2590-21-1	UNIAO DE VILA NOVA	
33144	2626-10-1	JD. NAZARE	
376	2626-10-0	TERM. PQ. D.PEDRO II	
1550	2626-21-0	TERM. PQ. D. PEDRO II	
34318	2626-21-1	JD. NAZARÉ	
34522	2626-31-1	JD. NAZARÉ	
1754	2626-31-0	TERM. PQ. D. PEDRO II	
377	2628-10-0	TERM. ARICANDUVA	
33145	2628-10-1	JD. NAZARE	
34613	2628-22-1	JD. NAZARE	
1845	2628-22-0	TERM. SÃO MIGUEL	
252	263C-10-0	COHAB II	
33020	263C-10-1	JD. HELENA	
32987	263J-10-1	PENHA	
219	263J-10-0	CONJ. JOSE BONIFACIO	
378	2666-10-0	TERM. PQ. D.PEDRO II	
33146	2666-10-1	JD. CAMARGO VELHO	
33147	2666-21-1	JD. CAMARGO VELHO	
379	2666-21-0	TERM. PQ. D.PEDRO II	
381	2666-32-0	TERM.PQ.D.PEDRO II	
33149	2666-32-1	JD. CAMARGO VELHO	
33150	2666-51-1	JD. CAMARGO VELHO	
382	2666-51-0	TERM. A. E. CARVALHO	
383	2678-10-0	TERM. PQ. D.PEDRO II	
33151	2678-10-1	OLIVEIRINHA	
33153	2678-22-1	LARGO DA CONCORDIA	
385	2678-22-0	OLIVEIRINHA	
386	2678-31-0	TERM. PQ.D. PEDRO II	
33154	2678-31-1	OLIVEIRINHA	
33155	2678-41-1	JD. CAMARGO NOVO	
387	2678-41-0	TERM. PQ. D. PEDRO II	
388	2678-51-0	TERM. A. E. CARVALHO	
33156	2678-51-1	OLIVEIRINHA	
33682	2702-10-1	VILA AMERICANA	
914	2702-10-0	METRO ARTUR ALVIM	
1526	2702-21-0	METRO ARTUR ALVIM	
34294	2702-21-1	JD. PEDRO J. NUNES	
33683	2703-10-1	JD. ETELVINA	
915	2703-10-0	METRO ITAQUERA	
1527	2703-21-0	METRO ITAQUERA	
34295	2703-21-1	JD. ETELVINA	
34577	2703-22-1	JD. GIANETTI	
1809	2703-22-0	METRO ITAQUERA	
916	2704-10-0	METRO ITAQUERA	
33684	2704-10-1	JD. ROBRU	
33685	2705-10-1	JD. FANGANIELO	
917	2705-10-0	METRO ITAQUERA	
918	2706-10-0	METRO VILA MATILDE	
33686	2706-10-1	CEMITERIO DA SAUDADE	
33687	2707-10-1	CHABILANDIA	
919	2707-10-0	METRO ITAQUERA	
920	2707-31-0	METRO ITAQUERA	
33688	2707-31-1	CHABILANDIA	
33689	2708-10-1	JD. LAJEADO	
921	2708-10-0	METRO ITAQUERA	
922	2709-10-0	METRO PATRIARCA	
33690	2709-10-1	VILA UNIAO	
33691	2709-31-1	VILA UNIAO	
923	2709-31-0	METRO PATRIARCA	
924	2710-10-0	BURGO PAULISTA	
33692	2710-10-1	METRO PATRIARCA	
34422	2710-31-1	METRO PATRIARCA	
1654	2710-31-0	VILA SAO FRANCISCO	
925	2711-10-0	METRO PATRIARCA	
33693	2711-10-1	PONTE RASA	
33694	2712-10-1	JD. SAO NICOLAU	
926	2712-10-0	SHOP. METRÔ ITAQUERA (CIRCULAR)	
220	2713-10-0	CHACARA BELA VISTA	
32988	2713-10-1	METRO PENHA	
33695	2714-10-1	METRÔ VILA MATILDE	
927	2714-10-0	VILA RUI BARBOSA	
928	2715-10-0	METRO PATRIARCA	
33696	2715-10-1	VILA SILVIA	
33697	2716-10-1	CHAC. CRUZ. DO SUL	
929	2716-10-0	METRO PENHA	
930	2717-10-0	CANGAÍBA	
33698	2717-10-1	METRÔ GUILHERMINA	
33699	2718-10-1	VILA SILVIA	
931	2718-10-0	METRO PENHA	
932	2719-10-0	METRO VILA MATILDE	
33700	2719-10-1	ERMELINO MATARAZZO	
33470	271A-10-1	TERM. PENHA	
702	271A-10-0	METRO SANTANA	
703	271A-51-0	METRO SANTANA	
33471	271A-51-1	CANGAIBA	
33450	271C-10-1	PQ VILA  MARIA 	
682	271C-10-0	TERM PRINC ISABEL	
683	271F-10-0	SHOP. CENTER NORTE	
33451	271F-10-1	METRO BELEM	
33452	271M-10-1	PQ. NOVO MUNDO	
684	271M-10-0	METRO SANTANA	
704	271P-10-0	EST. DA LUZ	
33472	271P-10-1	CANGAIBA	
33701	2720-10-1	JD. BELEM	
933	2720-10-0	METRO GUILHERMINA	
1842	2720-31-0	METRO GUILHERMINA	
34610	2720-31-1	JD. BELEM	
33702	2721-10-1	JD. NAZARE	
934	2721-10-0	METRO ITAQUERA	
935	2722-10-0	METRO GUILHERMINA	
33703	2722-10-1	JD. VERONIA	
33704	2722-31-1	JD. VERONIA	
936	2722-31-0	METRO GUILHERMINA	
937	2723-10-0	METRO ITAQUERA	
33705	2723-10-1	UNIAO DE VILA NOVA	
33706	2724-10-1	METRO ARTUR ALVIM	
938	2724-10-0	CONJ. ARAUCARIA	
939	2725-10-0	METRO ARTUR ALVIM	
