cd_linha	trip_id	dc_itinerario_longo	
1663	5034-10-0	TERM. SACOMA	
34431	5034-10-1	VILA LIVIERO	
34432	5034-31-1	TERM. SACOMA	
1664	5034-31-0	VILA LIVIERO	
1668	5035-10-0	TERM. SACOMA	
34436	5035-10-1	VILA ARAPUA	
34434	5036-10-1	JD. CELESTE	
1666	5036-10-0	TERM. SACOMA	
1661	5038-10-0	TERM. SACOMA	
34429	5038-10-1	PQ. BRISTOL	
32885	508L-10-1	TERM.PRINCESA ISABEL	
117	508L-10-0	ACLIMACAO (CIRC.)	
1523	5091-10-0	METRÔ SÃO JUDAS (CIRCULAR)	
34291	5091-10-1	JD. UBIRAJARA	
33032	509J-10-1	JD. SELMA	
264	509J-10-0	PQ. IBIRAPUERA	
34887	509J-21-1	VILA MISSIONÁRIA	
2119	509J-21-0	MOEMA (CIRCULAR)	
34045	509M-10-1	JD. MIRIAM	
1277	509M-10-0	TERM. PRINC. ISABEL	
1278	509M-21-0	MOEMA	
34046	509M-21-1	JD. MIRIAM	
34138	5100-10-1	TERMINAL PINHEIROS	
1370	5100-10-0	TERM. PQ. D. PEDRO II	
1519	5101-10-0	TERM. PQ. D.PEDRO II	
34287	5101-10-1	TERM. SACOMÃ	
34047	5102-10-1	TERM. SACOMÃ	
1279	5102-10-0	TERM. AMARAL GURGEL	
1646	5103-10-0	MOEMA	
34414	5103-10-1	TERM. SACOMA	
34456	5103-21-1	TERM. SACOMA	
1688	5103-21-0	METRO STA. CRUZ	
1658	5104-10-0	PCA DA REPUBLICA	
34426	5104-10-1	TERM. SACOMA	
34419	5105-10-1	TERM. SACOMA	
1651	5105-10-0	TERM. MERCADO 	
1280	5106-10-0	LGO. SÃO FRANCISCO (CIRCULAR)	
34048	5106-10-1	JARDIM SELMA	
1972	5106-21-0	SHOPPING IBIRAPUERA (CIRCULAR)	
34740	5106-21-1	JARDIM SELMA	
1305	5106-31-0	METRÔ ANA ROSA	
34073	5106-31-1	JARDIM SELMA	
34427	5107-10-1	TERM. SACOMA	
1659	5107-10-0	TERM. CORREIO	
1675	5108-10-0	TERM. PQ. D. PEDRO II	
34443	5108-10-1	JD. CELESTE	
34619	5109-10-1	TERM. VILA PRUDENTE 	
1851	5109-10-0	TERM. MERCADO	
2013	5109-41-0	METRO TAMANDUATEI	
34781	5109-41-1	SAO MATEUS	
34697	5109-51-1	SAO MATEUS	
1929	5109-51-0	TERM. MERCADO	
48	5111-10-0	TERM. PQ.D. PEDRO II	
32816	5111-10-1	TERM. STO. AMARO	
32769	5119-10-1	TERM. CAPELINHA	
1	5119-10-0	LGO. SAO FRANCISCO	
2124	5119-22-0	LGO. SAO FRANCISCO	
34892	5119-22-1	TERM. JOAO DIAS	
34893	5119-23-1	TERM. JOÃO DIAS	
2125	5119-23-0	INSTITUTO LUCY MONTORO	
1125	5123-10-0	HOSPITAL SAO PAULO	
33893	5123-10-1	JD. MIRIAM	
33895	5127-10-1	VILA GUACURI	
1127	5127-10-0	JD. PRUDÊNCIA (CIRCULAR)	
1128	5128-10-0	AEROPORTO 	
33896	5128-10-1	JD. APURÁ	
34049	5129-10-1	JD. MIRIAM	
1281	5129-10-0	TERM. GUARAPIRANGA	
1974	5129-41-0	SANTO AMARO	
34742	5129-41-1	JD. MIRIAM	
1282	5131-10-0	METRÔ BRÁS	
34050	5131-10-1	CIDADE ADEMAR	
34423	513L-10-1	TERM. SACOMA	
1655	513L-10-0	PENHA	
1643	5140-10-0	PCA JOAO MENDES	
34411	5140-10-1	JD. GRIMALDI	
34393	5141-10-1	TERM. SAPOPEMBA/TEOTÔNIO VILELA	
1625	5141-10-0	TERM. CORREIO	
1626	5142-10-0	TERM. PQ. D.PEDRO II	
34394	5142-10-1	TERM. SAPOPEMBA/TEOTÔNIO VILELA	
34396	5143-10-1	TERM. SAPOPEMBA/TEOTÔNIO VILELA	
1628	5143-10-0	TERM. PQ. D.PEDRO II	
34911	5143-31-1	TERM. SAPOPEMBA/TEOTÔNIO VILELA	
2143	5143-31-0	TERM. PQ. D. PEDRO II	
1627	5144-10-0	TERMINAL PRINC. ISABEL	
34395	5144-10-1	TERM. SAPOPEMBA/TEOTÔNIO VILELA	
34409	5145-10-1	TERM. SAPOPEMBA/TEOTONIO VILELA	
1641	5145-10-0	PCA. ALMEIDA JR.	
1642	5145-41-0	PCA. ALMEIDA JR.	
34410	5145-41-1	CONJ. TEOTONIO VILELA	
34439	514T-10-1	TERM. SACOMA	
1671	514T-10-0	JD. ITAPOLIS	
2033	514T-21-0	METRO VILA PRUDENTE	
34801	514T-21-1	JD. COLORADO	
33121	5154-10-1	TERM. STO. AMARO	
353	5154-10-0	EST. DA LUZ	
1283	5164-10-0	LGO. SAO FRANCISCO (CIRCULAR)	
34051	5164-10-1	V. STA. CATARINA	
34384	5164-21-1	CIDADE LEONOR	
1616	5164-21-0	PQ. DO IBIRAPUERA	
1617	5164-41-0	CIRCULAR	
34385	5164-41-1	VILA GUARANI	
33034	516N-10-1	JD. MIRIAM	
266	516N-10-0	PRAÇA DOM GASTÃO	
593	5175-10-0	PÇA. DA SÉ	
33361	5175-10-1	BALNEARIO SAO FCO.	
33363	5178-10-1	JD. MIRIAM	
595	5178-10-0	LGO. SAO FRANCISCO	
596	5178-21-0	PARQUE IBIRAPUERA	
33364	5178-21-1	JD. MIRIAM	
33897	517J-10-1	JD. SELMA	
1129	517J-10-0	BERRINI	
1308	5185-10-0	PQUE. D. PEDRO II	
34076	5185-10-1	TERM. GUARAPIRANGA	
33037	5194-10-1	JD. SÃO JORGE ATÉ APURÁ	
269	5194-10-0	PQ. IBIRAPUERA	
2095	5194-21-0	AEROPORTO	
34863	5194-21-1	JD. SÃO JORGE ATÉ APURÁ	
34483	524L-10-1	PQ. SAO LUCAS 	
1715	524L-10-0	TATUAPE	
1631	524M-10-0	SHOP. ARICANDUVA	
34399	524M-10-1	MASCARENHAS DE MORAIS	
33039	527R-10-1	VILA IMPERIO	
271	527R-10-0	TERMINAL SANTO AMARO 	
597	5290-10-0	PCA. JOAO MENDES	
33365	5290-10-1	DIV. DIADEMA	
2055	5290-51-0	TERM. AMARAL GURGEL	
34823	5290-51-1	DIV. DIADEMA	
33122	5300-10-1	TERM. SANTO AMARO	
354	5300-10-0	TERM. PQ. D. PEDRO II	
69	5317-10-0	PRACA DO CORREIO	
32837	5317-10-1	SESC/ORION	
32813	5318-10-1	CHACARA SANTANA	
45	5318-10-0	PRACA DA SE	
36	5318-21-0	PRACA DA SE	
32804	5318-21-1	PIRAPORINHA	
34359	5318-22-1	PRAÇA DA SÉ	
1591	5318-22-0	CHÁCARA SANTO ANTÔNIO	
70	5362-10-0	PÇA. DA SÉ	
32838	5362-10-1	PQ. RES. COCAIA	
32839	5362-21-1	GRAJAU	
71	5362-21-0	PÇA. DA SÉ	
1645	5362-22-0	PÇA. DA SÉ	
34413	5362-22-1	JD. ELIANA	
34628	5362-23-1	PQ. RES. COCAIA	
1860	5362-23-0	BORBA GATO	
72	5362-41-0	PQ. DO IBIRAPUERA	
32840	5362-41-1	PQ. RES. COCAIA	
34210	5370-10-1	TERMINAL VARGINHA	
1442	5370-10-0	LGO. SAO FRANCISCO	
1551	5370-21-0	PQ. DO IBIRAPUERA	
34319	5370-21-1	TERMINAL VARGINHA	
34548	5370-22-1	TERMINAL VARGINHA	
1780	5370-22-0	BORBA GATO	
171	5391-10-0	LGO SÃO FRANCISCO	
32939	5391-10-1	TERM. JD. ANGELA	
34497	5391-21-1	TERM GUARAPIRANGA	
1729	5391-21-0	LARGO SÃO FRANCISCO	
1778	5391-22-0	TERM. JD. ANGELA	
34546	5391-22-1	MOEMA	
33899	546A-10-1	JD. APURA	
1131	546A-10-0	SANTO AMARO	
1132	546A-31-0	SANTO AMARO	
33900	546A-31-1	JD. APURA	
33901	546J-10-1	JD. SELMA	
1133	546J-10-0	STO. AMARO	
2015	546J-31-0	STO. AMARO	
34783	546J-31-1	JD. SELMA	
33902	546J-41-1	JD. SELMA	
1134	546J-41-0	COLEGIO STA. MARIA	
1285	546L-10-0	TERMINAL SANTO AMARO	
34053	546L-10-1	JD. LUSO	
34054	546L-41-1	JD. LUSO	
1286	546L-41-0	COLEGIO STA. MARIA	
272	546T-10-0	TERM. SANTO AMARO	
33040	546T-10-1	VILA GUACURI	
33366	5611-10-1	ELDORADO	
598	5611-10-0	PÇA. JOÃO MENDES	
1516	5612-10-0	PARQUE IBIRAPUERA - CIRCULAR	
34284	5612-10-1	JD. APURA	
34283	5614-10-1	ELDORADO	
1515	5614-10-0	PÇA. JOÃO MENDES	
78	5630-10-0	METRO BRAS	
32846	5630-10-1	TERMINAL GRAJAÚ	
34215	5630-21-1	CIDADE DUTRA	
1447	5630-21-0	LGO. SAO FRANCISCO	
81	5632-10-0	LGO. SAO FRANCISCO	
32849	5632-10-1	V. SAO JOSE	
32850	5632-21-1	JD. IPORANGA	
82	5632-21-0	LGO. SAO FRANCISCO	
83	5632-51-0	LGO. SAO FRANCISCO	
32851	5632-51-1	JD. ALPINO	
33042	5652-10-1	JD. IV CENTENARIO	
274	5652-10-0	PÇA DA SÉ	
1719	5652-21-0	PÇA DA SÉ	
34487	5652-21-1	JD. IV CENTENARIO	
33904	5701-10-1	METRO CONCEICAO	
1136	5701-10-0	ESTACAO BERRINI	
2137	5701-21-0	ESTACAO BERRINI	
34905	5701-21-1	VILA SANTA CATARINA	
1137	5702-10-0	METRO JABAQUARA	
33905	5702-10-1	REFÚGIO SANTA TEREZINHA	
34425	5705-10-1	TERM. SACOMA	
1657	5705-10-0	METRO VERGUEIRO	
1684	571T-10-0	SHOP. CENTER NORTE	
34452	571T-10-1	TERM. SACOMA	
34405	573A-10-1	METRO BRESSER	
1637	573A-10-0	VILA ALPINA	
1630	573H-10-0	METRO BRESSER	
34398	573H-10-1	HOSP. SAPOPEMBA	
34400	573T-10-1	TERM. SAPOPEMBA/TEOTONIO VILELA	
1632	573T-10-0	METRO CARRAO	
1919	573T-21-0	TERM. SAPOPEMBA TEOT. VILELA	
34687	573T-21-1	JD. TIETE	
602	574A-10-0	LGO.CAMBUCI	
33370	574A-10-1	AMERICANOPOLIS	
34407	574C-10-1	TERMINAL SAO MATEUS	
1639	574C-10-0	DIVISA DE SAO CAETANO	
1685	574J-10-0	TERM. V. CARRAO	
34453	574J-10-1	METRO CONCEIÇÃO	
34391	574R-10-1	TERM. SAPOPEMBA/TEOTÔNIO VILELA	
1623	574R-10-0	METRO BELEM	
1624	574T-10-0	METRO CARRAO	
34392	574T-10-1	TERM. SAPOPEMBA/TEOTONIO VILELA	
34397	574W-10-1	JD. WALKIRIA	
1629	574W-10-0	METRO BELEM	
1287	5752-10-0	METRO CONCEICAO	
34055	5752-10-1	VILA MISSIONARIA	
34056	5757-10-1	CIDADE JULIA	
1288	5757-10-0	METRÔ CONCEICÃO	
1976	5757-51-0	METRÔ CONCEIÇÃO	
34744	5757-51-1	PEDREIRA	
1138	5759-10-0	METRO CONCEICAO	
33906	5759-10-1	PQ. PRIMAVERA	
33907	5759-31-1	PQ. PRIMAVERA	
1139	5759-31-0	METRO CONCEICAO	
1638	575A-10-0	SHOP. METRO TATUAPE	
34406	575A-10-1	DIV. SÃO CAETANO	
34454	575C-10-1	VILA MATIAS	
1686	575C-10-0	METRO CONCEICAO	
34885	575C-21-1	VILA DIVA	
2117	575C-21-0	METRO VILA PRUDENTE	
34058	576C-10-1	METRO JABAQUARA	
1290	576C-10-0	TERM. SANTO AMARO	
603	576J-10-0	STO AMARO	
33371	576J-10-1	METRO JABAQUARA	
33372	576M-10-1	V. CLARA	
604	576M-10-0	TERMINAL PINHEIROS	
1291	577T-10-0	VILA GOMES	
34059	577T-10-1	JD. MIRIAM	
33375	5791-10-1	ELDORADO	
607	5791-10-0	METRÔ VERGUEIRO	
1140	6000-10-0	TERM. STO. AMARO	
33908	6000-10-1	TERM. PARELHEIROS	
33909	6000-21-1	CIDADE DUTRA	
1141	6000-21-0	AMA	
1620	6000-22-0	PRAÇA SUZANA RODRIGUES	
34388	6000-22-1	TERM. PARELHEIROS	
32820	6001-10-1	TERM. CAPELINHA	
52	6001-10-0	TERM SANTO AMARO	
1979	6002-10-0	HOSPITAL DE PEDREIRA (CIRCULAR )	
34747	6002-10-1	CIDADE DUTRA	
1472	6003-10-0	TERMINAL VARGINHA	
34240	6003-10-1	TERMINAL GRAJAÚ	
32943	6006-10-1	JD. HERCULANO	
175	6006-10-0	SHOPPING INTERLAGOS	
176	6007-10-0	TERM. STO. AMARO	
32944	6007-10-1	PQ. STO. ANTONIO	
33968	6008-10-1	JD. PLANALTO	
1200	6008-10-0	TERM. STO. AMARO	
1464	6008-21-0	TERM. STO. AMARO	
34232	6008-21-1	PQUE. EUROPA	
33970	6010-10-1	CHAC. SANTA MARIA	
1202	6010-10-0	TERM. GUARAPIRANGA	
1204	6012-10-0	SANTO AMARO	
33972	6012-10-1	PQUE. INDEPENDÊNCIA	
34544	6012-31-1	PQ. INDEPENDENCIA	
1776	6012-31-0	 JD. ANGELA  CIRCULAR 	
186	6013-10-0	TERM. STO. AMARO	
32954	6013-10-1	JD. NAKAMURA	
32955	6013-21-1	ETEC	
187	6013-21-0	JD. ÂNGELA	
188	6014-10-0	TERM. STO. AMARO	
32956	6014-10-1	TERM. ROD. JD. JACIRA	
33973	6015-10-1	VILA CALU	
1205	6015-10-0	SANTO AMARO	
84	6016-10-0	TERMINAL GRAJAÚ	
32852	6016-10-1	JD. NORONHA	
32853	6016-31-1	JD. NORONHA	
85	6016-31-0	TERM. VARGINHA	
1706	6016-41-0	TERMINAL GRAJAÚ	
34474	6016-41-1	JD. PORTO VELHO	
33974	6017-10-1	JD. NAKAMURA	
1206	6017-10-0	SANTO AMARO	
1490	6019-10-0	JD. ALFREDO	
34258	6019-10-1	TERM. GUARAPIRANGA	
33975	6022-10-1	PQUE. CEREJEIRA	
1207	6022-10-0	SANTO AMARO	
1210	6025-10-0	SANTO AMARO	
33978	6025-10-1	JD. GUARUJA	
32855	6026-10-1	JD. ICARAI	
87	6026-10-0	TERM. STO. AMARO	
88	6026-31-0	TERMINAL SANTO AMARO	
32856	6026-31-1	JD. ICARAI	
32858	6027-10-1	JD. GRAUNA	
90	6027-10-0	TERM. STO. AMARO	
1211	6028-10-0	TERM. STO. AMARO	
33979	6028-10-1	RIVIERA	
34230	6028-31-1	RIVIERA	
1462	6028-31-0	TERM. SANTO AMARO	
1142	6030-10-0	TERM. STO. AMARO	
33910	6030-10-1	UNISA-CAMPUS 1 ATÉ V.SÃO JOSÉ	
2000	6030-21-0	TERM. STO. AMARO	
34768	6030-21-1	UNISA-CAMPUS 1	
32860	6031-10-1	JD. SAO BERNARDO	
92	6031-10-0	TERMINAL GRAJAÚ	
95	6034-10-0	TERMINAL GRAJAÚ	
32863	6034-10-1	PQ. RES. COCAIA	
33981	6035-10-1	VILA GILDA	
1213	6035-10-0	SANTO AMARO	
1795	6035-21-0	TERM.GUARAPIRANGA	
34563	6035-21-1	VILA GILDA	
33982	6036-10-1	JD. MACEDONIA	
1214	6036-10-0	SANTO AMARO	
1215	6037-10-0	SANTO AMARO	
33983	6037-10-1	JD. MITSUTANI	
33984	6038-10-1	JD. DAS ROSAS	
1216	6038-10-0	SANTO AMARO	
1217	6039-10-0	SANTO AMARO	
33985	6039-10-1	VALO VELHO	
32822	6040-10-1	TERMINAL CAPELINHA	
54	6040-10-0	ITAIM BIBI	
1218	6041-10-0	SANTO AMARO	
33986	6041-10-1	JD. JANGADEIRO	
34517	6041-21-1	TERM. JOAO DIAS	
1749	6041-21-0	JD. MONTE AZUL- CIRCULAR	
1219	6042-10-0	SANTO AMARO	
33987	6042-10-1	JD. TRES ESTRELAS	
34543	6042-21-1	TERMINAL CAPELINHA	
1775	6042-21-0	CEU CAPÃO REDONDO	
1220	6043-10-0	TERM. SANTO AMARO	
33988	6043-10-1	JD. CAPELINHA	
33989	6044-10-1	JD. DOM JOSÉ	
1221	6044-10-0	TERM. SANTO AMARO	
1222	6045-10-0	SANTO AMARO	
33990	6045-10-1	VALO VELHO	
33991	6046-10-1	JD. SAO BENTO NOVO	
1223	6046-10-0	SANTO AMARO	
1224	6047-10-0	SANTO AMARO	
33992	6047-10-1	JD. LIDIA	
32824	6048-10-1	CAPAO REDONDO	
56	6048-10-0	STO. AMARO	
1309	6049-10-0	SANTO  AMARO	
34077	6049-10-1	VALO VELHO	
33911	6051-10-1	JD. ITAJAÍ	
1143	6051-10-0	TERMINAL VARGINHA	
1606	6051-31-0	TERMINAL VARGINHA	
34374	6051-31-1	JD. ITAJAÍ	
33912	6052-10-1	JD. SETE DE SETEMBRO	
1144	6052-10-0	TERMINAL VARGINHA	
1832	6052-31-0	TERMINAL VARGINHA	
34600	6052-31-1	JD. ALMEIDA PRADO	
33913	6053-10-1	JD. ELLUS	
1145	6053-10-0	TERMINAL GRAJAÚ	
1146	6055-10-0	SHOP. INTERLAGOS( CIRCULAR )	
33914	6055-10-1	JD. SAO BERNARDO	
33915	6056-10-1	PQ. SANTA CECILIA	
1147	6056-10-0	TERMINAL GRAJAU	
2003	6056-41-0	TERMINAL GRAJAU	
34771	6056-41-1	VILA NATAL	
33916	6057-10-1	VILA NATAL	
1148	6057-10-0	TERM. GRAJAU	
1149	6058-10-0	TERMINAL VARGINHA	
33917	6058-10-1	JD. NORONHA	
33994	6059-10-1	JD. UNIVERSAL	
1226	6059-10-0	SANTO AMARO	
1150	6061-10-0	TERMINAL GRAJAÚ	
33918	6061-10-1	JD. MARILDA	
33919	6062-10-1	JD. CASTRO ALVES	
1151	6062-10-0	TERMINAL GRAJAÚ	
1739	6062-51-0	TERMINAL SANTO AMARO	
34507	6062-51-1	JD. CASTRO ALVES	
33920	6063-10-1	JD. VARGINHA	
1152	6063-10-0	TERMINAL VARGINHA	
2001	6063-21-0	TERMINAL VARGINHA	
34769	6063-21-1	JD. NOVO HORIZONTE	
34541	6063-41-1	JD. NOVO MARILDA	
1773	6063-41-0	TERMINAL VARGINHA	
2002	6063-42-0	TERMINAL VARGINHA	
34770	6063-42-1	CHACARA SANTO AMARO	
33922	6069-10-1	JD. SAO BERNARDO	
1154	6069-10-0	SANTO AMARO	
1156	6071-10-0	TERM. SANTO AMARO	
33924	6071-10-1	JD. ORION	
33926	6071-22-1	JD. PRIMAVERA	
1158	6071-22-0	TERM. SANTO AMARO	
1588	6072-10-0	TERMINAL VARGINHA	
34356	6072-10-1	JD. SAO NICOLAU	
34523	6072-21-1	JD. IPORÃ	
1755	6072-21-0	TERMINAL VARGINHA	
1858	6072-22-0	TERMINAL VARGINHA	
34626	6072-22-1	JD. MANACÁ DA SERRA	
2004	6072-23-0	BALNEARIO SÃO JOSÉ (CIRCULAR)	
34772	6072-23-1	TERMINAL VARGINHA	
33928	6073-10-1	JD. SANTA TEREZINHA	
1160	6073-10-0	TERMINAL VARGINHA	
1762	6073-21-0	TERMINAL VARGINHA	
34530	6073-21-1	JD. SILVEIRA	
33929	6074-10-1	JD. GAIVOTAS	
1161	6074-10-0	ESTACAO JURUBATUBA	
1162	6075-10-0	TERM. VARGINHA	
33930	6075-10-1	JD. REC. CAMPO BELO	
34467	6075-21-1	JD. ARUAN	
1699	6075-21-0	TERMINAL VARGINHA	
1163	6075-41-0	TERM. VARGINHA	
33931	6075-41-1	JARDIM ALMEIDA	
33933	6076-10-1	JD. PROGRESSO	
1165	6076-10-0	TERM. STO. AMARO	
1986	6076-41-0	TERMINAL SANTO AMARO	
34754	6076-41-1	JD. SATELITE II	
33934	6078-10-1	CANTINHO DO CEU	
1166	6078-10-0	SHOP. INTERLAGOS	
34907	607A-10-1	JD. APURA	
2139	607A-10-0	SOCORRO	
2140	607A-21-0	ESTAÇÃO JURUBATUBA	
34908	607A-21-1	JD. APURA	
1977	607C-10-0	SHOPPING MORUMBI	
34745	607C-10-1	JD. MIRIAM	
1759	607G-10-0	SHOPPING MORUMBI - CIRCULAR	
34527	607G-10-1	METRÔ CONCEIÇÃO	
2036	607M-10-0	SHOPPING MORUMBI	
34804	607M-10-1	TERMINAL GRAJAU	
33936	6080-10-1	JD. LUCELIA	
1168	6080-10-0	SHOPPING INTERLAGOS	
1733	6083-10-0	TERMINAL GRAJAÚ	
34501	6083-10-1	JD. ELIANA	
33937	6084-10-1	JD. CHACARA DO SOL	
1169	6084-10-0	TERM. VARGINHA	
1455	6084-21-0	TERM. VARGINHA	
34223	6084-21-1	JD. MORAES PRADO	
33943	6091-10-1	VARGEM GRANDE	
1175	6091-10-0	TERM. SANTO AMARO	
1176	6091-21-0	TERMINAL SANTO AMARO	
33944	6091-21-1	JD. SILVEIRA	
34459	6091-51-1	COLONIA	
1691	6091-51-0	TERM. STO. AMARO	
1177	6092-10-0	TERMINAL GRAJAÚ	
33945	6092-10-1	JD. DAS PEDRAS	
34353	6093-10-1	VARGEM GRANDE	
1585	6093-10-0	TERMINAL GRAJAÚ	
1587	6099-10-0	TERMINAL GRAJAÚ	
34355	6099-10-1	DIVISA DE EMBU GUAÇU	
32805	609F-10-1	CHACARA SANTANA	
37	609F-10-0	PCA. PRINC. ISABEL	
38	609F-21-0	ANHANGABAU	
32806	609F-21-1	CHACARA SANTANA	
34245	609R-10-1	JD. CAPELA	
1477	609R-10-0	CCPD RAUL TABAJARAS	
1184	6110-10-0	AEROPORTO	
33952	6110-10-1	CONJ. HAB. PALMARES	
33953	6115-10-1	CANTINHO DO CEU	
1185	6115-10-0	TERMINAL GRAJAU	
1186	6116-10-0	TERMINAL GRAJAÚ	
33954	6116-10-1	JD. PRAINHA	
33956	6118-10-1	JD. ICARAI	
1188	6118-10-0	TERMINAL SANTO AMARO	
1189	6120-10-0	TERMINAL GRAJAU	
33957	6120-10-1	JD. LUCELIA	
33960	6128-10-1	VILA NATAL	
1192	6128-10-0	SHOP. MORUMBI	
355	6200-10-0	TERM. BANDEIRA	
33123	6200-10-1	TERM. SANTO AMARO	
33251	6232-10-1	PINHEIROS/VILA IDA 	
483	6232-10-0	METRÔ BARRA FUNDA	
468	6250-10-0	TERM. BANDEIRA	
33236	6250-10-1	JD. JAQUELINE	
34000	6258-10-1	JD. SAO FRANCISCO	
1232	6258-10-0	TERM. SANTO AMARO	
1783	6258-31-0	JD IBIRAPUERA	
34551	6258-31-1	JD. SANTA MARGARIDA	
34139	6262-10-1	CEASA	
1371	6262-10-0	TERM. BANDEIRA	
1941	6262-21-0	PINHEIROS	
34709	6262-21-1	VILA LEOPOLDINA	
34824	627J-10-1	JD. MIRIAM	
2056	627J-10-0	METRÔ SÃO JUDAS	
33126	6291-10-1	INOCOOP CAMPO LIMPO	
358	6291-10-0	TERM. BANDEIRA	
1292	6312-10-0	TERMINAL AMARAL GURGEL	
34060	6312-10-1	JD. LUSO	
34061	6338-10-1	JD. MIRIAM	
1293	6338-10-0	TERM. PRINC. ISABEL	
1294	6358-10-0	TERM. BANDEIRA	
34062	6358-10-1	JD. LUSO	
34063	6358-41-1	V. IMPERIO	
1295	6358-41-0	TERM. BANDEIRA	
1296	6366-10-0	TERM. BANDEIRA	
34064	6366-10-1	JD. MIRIAM	
32953	637A-10-1	TERM. JD. ANGELA	
185	637A-10-0	TERM. PINHEIROS	
181	637A-21-0	TERM. PINHEIROS	
32949	637A-21-1	VILA REMO	
34370	637A-22-1	ITAIM BIBI	
1602	637A-22-0	TERM. JD. ANGELA	
1756	637A-25-0	TERM. PINHEIROS	
34524	637A-25-1	PIRAPORINHA	
34525	637A-26-1	TER GUARAPIRANGA	
1757	637A-26-0	TERM. PINHEIROS	
101	637G-10-0	PINHEIROS	
32869	637G-10-1	GRAJAU	
32870	637G-51-1	JD. ELIANA	
102	637G-51-0	PINHEIROS	
103	637J-10-0	PINHEIROS	
32871	637J-10-1	V. SAO JOSE	
32815	637P-10-1	TERM. SANTO AMARO	
47	637P-10-0	TERM. PINHEIROS	
196	637R-10-0	TERMINAL STO AMARO	
32964	637R-10-1	JD.ARACATI	
32872	637V-10-1	PARQUE AMERICA	
104	637V-10-0	TERMINAL SANTO AMARO	
57	6400-10-0	TERMINAL BANDEIRA	
32825	6400-10-1	TERMINAL JOAO DIAS	
33127	6401-10-1	V. OLIMPIA	
359	6401-10-0	EST. DA LUZ	
34917	6401-21-1	VILA OLIMPIA	
2149	6401-21-0	ANHANGABAÚ CIRCULAR	
58	6403-10-0	TERM. PQ.D. PEDRO II	
32826	6403-10-1	TERMINAL JOAO DIAS	
33538	6412-10-1	PARAISOPOLIS	
770	6412-10-0	TERM. PRINC. ISABEL	
360	6414-10-0	TERM. BANDEIRA	
33128	6414-10-1	SOCORRO	
33539	6418-10-1	REAL PARQUE	
771	6418-10-0	LARGO SÃO FRANCISCO	
1552	6418-31-0	PAULISTA	
34320	6418-31-1	REAL PARQUE	
33129	6422-10-1	V. CRUZEIRO	
361	6422-10-0	TERM. BANDEIRA	
59	6450-10-0	TERM. BANDEIRA	
32827	6450-10-1	TERM. CAPELINHA	
32828	6450-21-1	TERMINAL CAPELINHA	
60	6450-21-0	ITAIM BIBI	
1509	6450-51-0	TERM. BANDEIRA	
34277	6450-51-1	VALO VELHO	
32829	6451-10-1	TERM. CAPELINHA	
61	6451-10-0	TERM. BANDEIRA	
62	6451-21-0	PCA. 14 BIS	
32830	6451-21-1	TERMINAL CAPELINHA	
32831	6455-10-1	TERM. CAPELINHA	
63	6455-10-0	LGO. SAO FRANCISCO	
64	6455-21-0	IBIRAPUERA	
32832	6455-21-1	TERMINAL CAPELINHA	
34085	6475-10-1	JD. VAZ DE LIMA	
1317	6475-10-0	PCA. DA BANDEIRA	
2032	6475-21-0	TERM. CAPELINHA	
34800	6475-21-1	JD. VAZ DE LIMA	
34083	647A-10-1	VALO VELHO	
1315	647A-10-0	PINHEIROS	
65	647C-10-0	HOSP. DAS CLINICAS	
32833	647C-10-1	TERM. JOAO DIAS	
34084	647P-10-1	COHAB ADVENTISTA	
1316	647P-10-0	TERM. PINHEIROS	
66	648P-10-0	TERM. PINHEIROS	
32834	648P-10-1	TERM. CAPELINHA	
32835	648P-21-1	TERM. CAPELINHA	
67	648P-21-0	ITAIM BIBI	
46	6500-10-0	TERM. BANDEIRA	
32814	6500-10-1	TERM. STO.AMARO	
34218	6505-10-1	TERM. GUARAPIRANGA	
1450	6505-10-0	TERM. BANDEIRA	
4	669A-10-0	TERM. PRINC. ISABEL	
32772	669A-10-1	TERM. STO. AMARO	
32817	669A-41-1	TERM. STO. AMARO	
49	669A-41-0	METRÔ PAULISTA	
1193	6726-10-0	TERMINAL GRAJAU	
33961	6726-10-1	JD. GAIVOTAS	
34086	675A-10-1	PQ. STO. ANTONIO	
1318	675A-10-0	METRO SAO JUDAS	
1319	675A-41-0	METRO SAO JUDAS	
34087	675A-41-1	JD. SAO LUIZ	
32874	675G-10-1	PQ RES. COCAIA	
106	675G-10-0	METRO JABAQUARA	
1449	675G-22-0	COLEGIO SANTA MARIA	
34217	675G-22-1	PARQUE RES. COCAIA	
34562	675G-41-1	JD. CASTRO ALVES	
1794	675G-41-0	METRO JABAQUARA	
68	675I-10-0	METRO SAO JUDAS	
32836	675I-10-1	TERMINAL JOAO DIAS	
32966	675K-10-1	TERM. JD. ANGELA	
198	675K-10-0	METRO STA CRUZ	
1943	675K-21-0	TERM. JD. ÂNGELA	
34711	675K-21-1	ESTAÇÃO SOCORRO	
34786	675K-23-1	VILA REMO	
2018	675K-23-0	MOEMA	
34246	675L-10-1	TERM. SANTO AMARO	
1478	675L-10-0	METRO SANTA CRUZ	
108	675M-10-0	METRO JABAQUARA	
32876	675M-10-1	CENTRO SESC	
33130	675N-10-1	TERM. STO. AMARO	
362	675N-10-0	METRO ANA ROSA	
275	675P-10-0	METRO CONCEICAO	
33043	675P-10-1	SHOPPING SP MARKET	
